삭제(O 표시),업종,상호,리조트,지역,주소,전화,겸업,영업시간,홈페이지,인스타,등록ID
,스키·보드샵,아프레 스포츠,(외),서울,서울특별시 강남구 선릉로153길 8 지하 1층,02-514-2123,,매일 11:00~20:00,https://www.apressports.co.kr,apres.sports,27890730-1bc4-4ed4-8c00-d552f553b988
,스키·보드샵,알프스레포츠,(외),충청,대전광역시 중구 대둔산로 253 4층,0507-1399-3440,정비,"매일 10:00~20:00; 추석 당일, 설 당일은 휴무입니다.",http://www.tjalps.co.kr,tjalps.co.kr,b7051180-d685-46a8-821b-67e92325df67
,스키·보드샵,에스코어스키,(외),서울,서울특별시 강남구 도곡로 233 1층,0507-1440-4411,,매일 11:00~21:00; 매년 4월~9월 시즌 영업시간 11시~20시,https://smartstore.naver.com/salomonkorea,scoreski,bdf3f191-7c82-4366-8cfd-fcbb1f256234
,스키·보드샵,에이엔에이스포츠,(외),서울,서울특별시 강남구 논현로 653 에이엔에이빌딩 1층,02-544-9981,정비,매일 12:00~19:00,http://www.anasports.co.kr,anasports,6e41a1ef-6a2f-49f8-a8f6-f8b54d2c5b8f
,스키·보드샵,에이케이에이보드샵 군산점,(외),전라,전북특별자치도 군산시 동수송7길 9 3층 301호,,,"토 13:00~19:00, 일 13:00~19:00, 화 11:00~19:00, 수 11:00~19:00, ",,a.k.a_boardshop_gunsan,7d318fa0-128d-453c-8f5f-88aef5fc5938
,스키·보드샵,엑스게임스노우 보드샵,(외),서울,서울특별시 강남구 논현로 623 성지빌딩 2층,0507-1452-1439,,매일 11:00~21:00; 1년 365일 연중무휴,http://www.xgamesnow.co.kr,__xgamesnow,7806cfb1-5f8e-489b-a0ba-bb439cc11442
,스키·보드샵,자쿠이 스키 스노우보드 인라인,(외),경기,경기도 구리시 경춘로 282 구리패션아울렛 2층,031-555-4986,,매일 10:00~20:00; 창고정리중입니다. 전화주세요,http://www.zakui.co.kr,,1432edb9-b730-4c27-bb70-ee0f0310a141
,스키·보드샵,조이레포츠,(외),전라,전북특별자치도 전주시 완산구 백제대로 319 1층,0507-1400-4805,,"월 11:00~19:00, 화 11:00~19:00, 수 11:00~19:00, 목 11:00~19:00, ",https://smartstore.naver.com/joyleports,joyleports7,90b801e8-8f8f-44c7-b04a-1f7a5c3521c4
,스키·보드샵,좋은친구들,(외),강원,강원 정선군 정선읍 가리왕산로 570-5,1644-5822,렌탈 정비,,http://www.highyan.net,,8c01aa96-aa9c-4686-b8e8-c366794fe1d7
,스키·보드샵,챔피온,(외),서울,서울특별시 강남구 영동대로142길 15 1층,0507-1424-2071,,"토 11:00~18:00, 화 11:00~18:00, 수 11:00~18:00, 목 11:00~18:00, ",http://www.championsports.co.kr,,164178b3-b605-4cff-ab2c-c084f6b5bea2
,스키·보드샵,팝스노우보드,(외),서울,서울특별시 강남구 논현로 617 계현빌딩 1층,02-3445-0338,,매일 11:00~21:00,http://www.popsnowboard.co.kr,pop_snow,92e6517b-c6f9-4e52-83a1-c94212da6109
,스키·보드샵,프로암,(외),서울,서울특별시 서초구 효령로 131 청권빌딩 B1,0507-1333-7577,,"토 10:00~19:00, 월 10:00~19:00, 화 10:00~19:00, 수 10:00~19:00, ",https://smartstore.naver.com/proam,,db5bb16b-2fe5-4e87-9265-cecab8375ca4
,스키·보드샵,피닉스스포츠,(외),서울,서울특별시 서초구 효령로 97 이창빌딩 1층,0507-1375-8686,정비,매일 12:00~19:30; 임시 휴무일이 있으니 방문 전 꼭 확인 부탁드립니다.,https://smartstore.naver.com/phoenixski,ephoenixsports,13b23e08-16d9-4556-918c-d263196e47bf
,스키·보드샵,피스트,(외),서울,서울특별시 강남구 논현로120길 7 1층,02-554-9915,,매일 11:00~20:00; 휴무: 격주 일요일 정기 휴무,https://www.piste.co.kr,piste.ski,7490544c-dff5-4231-bebc-34de2a2fbd68
,스키·보드샵,화이트,(외),경기,경기 남양주시 화도읍 먹갓로 47-2,031-511-2901,렌탈,,,,ca0e50a4-b104-48f7-adea-a59b995f5906
,스키·보드샵,몽블랑스키샵,무주덕유산,전라,전북특별자치도 무주군 무풍면 구천동로 521,063-322-9530,,,,,d4e36ab2-58bf-400d-b17f-5df2e862c1b6
,스키·보드샵,스키텔스키샵,무주덕유산,전라,전북특별자치도 무주군 설천면 만선로 36-19,,,,,,35ee06b6-f96d-44bb-b262-bf5127a5a029
,스키·보드샵,알리앙스스키샵,무주덕유산,전라,전라북도 무주군 설천면 월곡길 54-1,063-322-4832,,,,,97621440-5fd4-42c3-96a9-d7ada043dc54
,스키·보드샵,유림스키샵,무주덕유산,전라,전북특별자치도 무주군 설천면 구천동로 850,063-322-0805,,,,,1d1dcee5-625b-4b4e-8553-a51d303888bb
,스키·보드샵,대명비발디인근호야스노우파크스쿨,비발디파크,강원,강원특별자치도 홍천군 서면 한치골길 797,,,,,,5a31d14d-9508-4a1d-8ff9-ca49d6fe9ded
,스키·보드샵,플래티스키샵,비발디파크,강원,강원특별자치도 홍천군 서면 대곡리 545-9,,,매일 00:00~24:00,http://platyps.com/ski,,c78cd2a1-e230-4655-932d-621a784245df
,스키·보드샵,스키점프20스포츠클럽,알펜시아,강원,강원특별자치도 평창군 대관령면 스포츠파크길 135,,,"토 12:40~18:00, 일 12:40~18:00; 월 정기휴무 (매주 월요일); 화 정기휴무 (매주 화요",,,70c439e4-d559-4363-9ea4-bf5bb5aefe13
,스키·보드샵,스키플러스,용평리조트,강원,강원특별자치도 평창군 대관령면 올림픽로 715 용평리조트 드래곤프라자 내 2층,033-335-9588,,매일 08:30~22:00; 성수기와 비수기의 운영시간이 다릅니다,http://www.skiplus.co.kr,,d64310b0-bb00-41d0-a543-0fbc626f27d7
,스키·보드샵,더샵,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 200 센터프라자 1층,033-330-6326,,매일 09:00~22:00,,,0a6ba7f2-facf-442d-806b-ccd7012ba6ec
,스키·보드샵,스키마을,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 73 지하 1층,0507-1498-1030,,,,,a09e27b8-4bfc-47f7-abde-b428a08ac1cc
,정비샵,나이프엣지,(외),서울,서울특별시 강남구 논현로132길 11 창전빌딩 지하1층,02-544-8434,,일 10:30~18:30 (브레이크 13:00~13:30); 월 10:30~18:30 (브레이크 13:00~,http://www.knifeedge.co.kr,,e390a43a-85f4-4e68-bbb1-5d7ae2f1005b
,정비샵,레블스하우스 서울,(외),서울,서울특별시 광진구 영화사로 89 2층 레블스하우스,02-6951-0240,,오늘 휴무 / 매주 일요일 휴무 (현재상태만),,,5bfd831a-715d-49a8-ae83-c9fe3c78cad2
,정비샵,비비익스트림,(외),경상,부산광역시 동래구 중앙대로1335번길 57 제례정건물 2층,,,매일 09:00~18:30,,,97c39871-897a-4d82-b639-e042625fc99d
,정비샵,에스비닥터,(외),서울,서울특별시 강남구 도곡로27길 5,0507-1449-8301,,매일 11:00~17:00; 휴무시 공지,http://www.sbdoctor.co.kr,,84d4656a-3a32-4173-a668-e699de438cda
,정비샵,제이원,(외),충청,충청남도 천안시 서북구 두정중1길 6-6 고대빌딩 302호,0507-1373-6107,,"월 11:00~19:00, 화 11:00~19:00, 수 11:00~19:00, 목 11:00~19:00, ",,,33905108-980b-439e-b934-19151fbc535b
,정비샵,스노우메타(곤지암점),곤지암리조트,경기,경기도 광주시 도척면 도척윗로 235-2 스노우메타,0507-1349-0656,,08:00~20:00,https://www.snowmeta.kr/,snow.meta,88a519c8-9e42-41a1-8261-8f0fbf507f91
,정비샵,엣지공방,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 234 102호,0507-1305-7254,판매,매일 08:00~24:00,http://skitune.kr,edge_gongbang,8ac62e1b-9628-422a-93b2-9c16d3198f0d
,정비샵,인스엣지왁싱,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 319,0507-1372-7060,,매일 09:00~23:00,,,c8352342-b288-4259-aef3-a5627f7fcaf0
,정비샵,커스텀 튠,곤지암리조트,경기,경기도 광주시 도척면 독고개길302번길 9-1 1층,0507-1320-3816,,매일 08:30~23:00; 곤지암스키장 21/22 시즌기간 운영,,,9a4b1975-22ed-4cc9-b29e-1a8ef9ec3aff
,정비샵,김민진 MJ튜닝연구소,무주덕유산,전라,전북특별자치도 무주군 설천면 만선로 185 만선하우스내 김민진 mj튜닝연구소,0507-1407-2114,판매,매일 08:00~23:00,,,47f99425-2d5b-4b09-a68f-c6bbe45076af
,정비샵,나이프엣지 무주점,무주덕유산,전라,전북특별자치도 무주군 설천면 만선1로 97,,,,,,6f6a3509-96fc-4c88-999e-3e40f1d43190
,정비샵,TOKO에지튠업왁싱,비발디파크,강원,강원특별자치도 홍천군 서면 한치골길 59,,,,,,0210b650-b0ce-4a5f-b13d-fe3bdac046f2
,정비샵,리커버,비발디파크,강원,강원특별자치도 홍천군 서면 한치골길 264 곤돌라 탑승장 1층,,,매일 09:00~20:00,,,69da7b9f-9950-4580-bd12-4b16bac96714
,정비샵,비비드왁스 & 풋풋 비발디점,비발디파크,강원,강원특별자치도 홍천군 서면 한치골길 45 1층,0507-1485-2467,,매일 08:30~21:00,,,2ec083ff-09bf-4709-8b27-93ca8f2c774a
,정비샵,익스트림왁스,비발디파크,강원,강원특별자치도 홍천군 서면 한서로 2093 1층 익스트림왁스,,판매,매일 13:00~22:00; 방문전 전화문의 부탁드립니다.장비 오전픽업 가능합니다.,https://smartstore.naver.com/extremestore,extremewax_korea,429fec3f-0bbe-4742-886e-260e91679fbc
,정비샵,허밍버드왁싱룸,비발디파크,강원,강원특별자치도 홍천군 서면 한치골길 53,,,,,,e05ede61-2763-46d2-9468-db57602b6f09
,정비샵,노르딕샵,알펜시아,강원,강원특별자치도 평창군 대관령면 올림픽로 62-3 2층,0507-1338-8941,,수 00:00~00:05; 토 정기휴무 (매주 토요일); 일 정기휴무 (매주 일요일); 월 정기휴무 (매주 ,,,fbc63957-4ff8-473e-aa0d-7e63dc495d40
,정비샵,레블스하우스 평창,알펜시아,강원,강원특별자치도 평창군 대관령면 솔봉로 257,0507-1365-7239,,오늘 휴무 / 09/05 휴무 (현재상태만),,,14856e0d-90a6-460e-b51f-febf6d7335e1
,정비샵,왁스맨,알펜시아,강원,강원특별자치도 평창군 대관령면 대관령마루길 11 왁스맨,0507-1473-5225,,매일 07:30~17:00 (브레이크 08:20~14:00); 주간 오전에는 슬로프에 있습니다.,http://www.waxman.kr,,0b5b93d1-4e46-45f8-98d7-eb2fa23b19d8
,정비샵,포디움,알펜시아,강원,강원특별자치도 평창군 대관령면 올림픽로 242,0507-1322-0329,,매일 08:00~21:00,,,59e63028-6e98-43e3-a1ed-c664ef1acb5d
,정비샵,홍프로 튜닝샵,알펜시아,강원,강원특별자치도 평창군 대관령면 올림픽로 248,,,,,,29d4c75a-7156-4628-bf30-127035e7e89f
,정비샵,비비드왁스 & 풋풋 용평점,용평리조트,강원,"강원특별자치도 평창군 대관령면 올림픽로 715 드래곤플라자 1층, 5번 게이트.",0507-1331-3609,,매일 08:30~21:00; 야간 스키 미운영시 08:30~17:00 입니다.,https://vividwax.com,vividwax_korea,f5a59a8d-13a0-45f0-9f95-50f8dfb555b1
,정비샵,나이프엣지 지산점,지산리조트,경기,경기도 이천시 마장면 덕평로 885 2층,,,매일 00:00~24:00,,,a2db6e43-2a7d-4f6b-9550-966208807ebd
,정비샵,닥터투 엣지 왁스,지산리조트,경기,경기도 이천시 마장면 해월로 8 닥터투 엣지왁스,0507-1324-2972,,매일 09:20~22:00,,,d5e97e6f-95d3-45c8-856f-fad7b3cbd202
,정비샵,홀멘콜 스키보드 수리튜닝센터 1호점,지산리조트,경기,경기도 이천시 마장면 억만리로 19 회억리 230-1,0507-1442-2602,판매,매일 08:00~22:00,,,db32dd1f-3430-4541-bb20-cabe2ccdfe7f
,정비샵,비비드왁스 & 풋풋 하이원점,하이원,강원,강원특별자치도 정선군 고한읍 고한로 97-1 1층,0507-1495-0161,,매일 08:00~20:00,,,e7491e73-ac11-4959-8810-4ccd45df7d80
,정비샵,하이토코,하이원,강원,강원 정선군 고한읍 고한로 107 1층 하이토코,,,매일 08:30~21:00,,,a63b0e6f-2307-4c2d-9ca4-184e2ae3a36d
,정비샵,SSS,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 104 2층 SSS,033-333-8188,,매일 07:00~23:00; 비시즌은 사전연락 후 방문요청 드립니다.  4월~10월,,,55aeaf2f-faa0-4785-a1bb-950e00ad48b1
,정비샵,TMK,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 270,,,매일 07:30~23:00,,,f8380988-b898-4a38-babc-0ed0647944dc
,정비샵,스페셜포인트,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 101-33 나동 지301호 스패셜포인트,0507-1396-0880,,매일 08:30~22:00,,specialpoint_tuinglab,afa3d676-6c93-4eef-9a0a-188a33c237a5
,정비샵,아임파인브로스,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 364 1층,0507-1353-2228,,매일 10:00~22:00,,,68736fd6-fae4-4ef1-9f5c-13e18080bbee
,정비샵,원볼코리아,휘닉스평창,강원,강원특별자치도 평창군 봉평면 태기로 137 마노빈치타운 3층 302호,0507-1442-1570,판매,매일 09:00~18:00; 2526시즌 영업시간입니다 비시즌은 연락주시면 됩니다,https://smartstore.naver.com/oneball,,27fb5fb1-5514-4058-a5c0-6935cdc2fe25
,렌탈샵,강윤정프로샵,(외),경기,경기도 포천시 내촌면 금강로 2496,070-4201-7800,,,,,e5c0e588-de37-4c47-ab94-77860f95c4e9
,렌탈샵,국가대표,(외),경기,경기 포천시 내촌면 금강로 2442,031-533-6989,판매,,,,19e6cdad-d00a-4392-aebd-ca40b96d3bab
,렌탈샵,드림스키보드,(외),경기,경기 포천시 내촌면 금강로 2568-10,031-531-5650,,,,,1a5bd263-d049-4f89-9a33-ac7ebd600018
,렌탈샵,뜨거운형제들,(외),경기,경기 포천시 내촌면 금강로2536번길 22-5,031-533-9538,,,,,e84fcd3c-7e8e-4278-9d9f-b04729c7be6a
,렌탈샵,빅베어,(외),경기,경기 포천시 내촌면 금강로 2206,031-532-8983,,,,,37b015a2-8fb7-49c6-8d42-66b1ef957803
,렌탈샵,스키2보드,(외),경기,경기 포천시 내촌면 금강로 2520-26,031-533-8006,,,,,4deea749-fef8-4c80-983f-8e135fadbae1
,렌탈샵,스키렌탈하우스,(외),경기,경기 포천시 내촌면 금강로2536번길 27,,,,,,c1a66880-e40e-41f0-8b4c-16cf02da9a0e
,렌탈샵,에스키모렌탈샵,(외),경기,경기도 포천시 내촌면 금강로2536번길 18,0507-1449-2234,,매일 08:00~24:00,http://www.eskimotown.co.kr,eskimo_town,ff874439-b51d-4740-93bb-fa5b65ae0161
,렌탈샵,포천 베어스타운 렌탈샵 VIP,(외),경기,경기도 포천시 내촌면 금강로 2520-20 1층,0507-1365-3669,정비,매일 00:00~24:00,http://www.vipski.co.kr,,b859eefb-c2f8-47c9-8adc-9216d6d44d24
,렌탈샵,V스키,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 218 V스키,0507-1403-0795,판매,매일 00:00~24:00; 곤지암리조트 스키장 개장부터 폐장까지 영업합니다.,https://vski.co.kr,vski_vd,733f10bb-0a9a-472c-b1f5-5eaacd7a6852
,렌탈샵,W스키,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 166 W스키샵,0507-1416-2990,,매일 00:00~24:00,https://w-ski.com,wskishop,75a68511-30a4-40a9-9a14-0c9df847b748
,렌탈샵,간지보더,곤지암리조트,경기,경기도 광주시 도척면 독고개길 318 간지보더,031-769-9375,,매일 08:00~02:00,http://www.ganjiboarder.com,ganjiboarder_,74320fcb-989f-45bd-98b2-328aff397deb
,렌탈샵,겨울이야기,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 242,0507-1308-5627,,매일 00:00~24:00,http://www.winter-story.kr,winterstory2023,fc8a8992-4907-4766-8985-c44b8edecc7f
,렌탈샵,닥터스노우,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 226 닥터스노우,0507-1495-0761,,매일 00:00~24:00,http://www.drsnow.co.kr,dr.snow_konjiam,3b6fc4d5-ed3a-430b-82c2-86227ef3c1b9
,렌탈샵,땡스키,곤지암리조트,경기,경기 광주시 도척면 도척윗로 234 1층,0507-1390-7107,,매일 00:00~24:00,https://www.ddaengski.com,ddaengski_7107,66226a4f-ac9f-4dbd-9d89-959c7ee3c53c
,렌탈샵,메가폰,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 212,0507-1375-9824,,"토 06:30~03:00, 일 06:30~03:00, 월 08:30~03:00, 화 08:30~03:00, ",https://megaphonesnow.imweb.me,megaphonesnow,66b9b4a2-1122-4ebc-95e1-70cbdd72ce85
,렌탈샵,몬스터스노우,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 162 곤지암렌탈샵,0507-1327-1784,,매일 08:00~03:00; 겨울 시즌은 휴무일 없이 운영합니다.,https://smartstore.naver.com/gonjiamrental,gonjiam_monstersnow,3cfc3210-8441-4b26-a039-d3c208aecb97
,렌탈샵,바나나스키,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 194 곤지암렌탈샵,0507-1454-5882,판매,"토 08:00~18:00, 일 08:00~18:00, 월 08:00~18:00, 금 08:00~18:00; ",http://pf.kakao.com/_xdWrib/chat,banana__ski,0c11b2f4-4f56-4f28-8529-e2e85f154c55
,렌탈샵,바하마,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 184 1층,,,매일 00:00~24:00,https://smartstore.naver.com/bahama,,33d70fa1-4c63-4359-87b3-ff4b7ec1765d
,렌탈샵,보드박스,곤지암리조트,경기,경기도 광주시 도척면 독고개길 402,031-797-7554,,매일 08:00~02:00,http://www.boardbox.kr,,b4a54579-6dee-4471-a610-70cf7f010d32
,렌탈샵,보스렌탈샵,곤지암리조트,경기,경기도 광주시 도척면 독고개길302번길 29,0507-1365-7172,,"토 06:30~02:00, 일 06:30~02:00, 월 07:30~02:00, 화 07:30~02:00, ",http://www.bossrentalshop.com,bossrentalshop,80404908-9912-4658-a01d-7eca8fdf93aa
,렌탈샵,브라더스,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 258 곤지암렌탈샵 브라더스,0507-1320-3982,,매일 00:00~24:00,https://smartstore.naver.com/gonjiam,brothers_gonjiam,d7a733cf-a7ff-472b-af18-91527ece931c
,렌탈샵,살로몬,곤지암리조트,경기,경기 광주시 도척면 도척윗로 292 2호,0507-1373-2296,,매일 00:00~24:00,,salomon_skischool,2f9e4e3d-432f-4a0f-b84b-9d5c6bccffb6
,렌탈샵,스키24,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 230 SKI 24,031-762-2410,,"토 07:00~03:00, 일 07:00~03:00, 월 08:00~03:00, 화 08:00~03:00, ",http://www.ski24.co.kr,,4c72a2a7-4487-49c2-8df4-fc18ef26d3af
,렌탈샵,스키벅스,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 283 101호,0507-1386-6413,,매일 08:00~01:00,https://smartstore.naver.com/konjiamskibucks,,117b67ef-d447-46a8-99d7-f84faf595ff8
,렌탈샵,신성기획,곤지암리조트,경기,경기 용인시 기흥구 중동 동백5로 22 쥬네브 문월드 가동 229호,1661-1523,,,http://www.스키존.com,,88c7f59c-069d-4348-8ebd-6160468ae706
,렌탈샵,쎄시봉,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 250,0507-1353-7588,,매일 08:30~24:00,https://smartstore.naver.com/cestsibon486,cestsibon_waterplay,aa7e7c2a-4d01-42c5-be6d-6561f5ad1001
,렌탈샵,아이원,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 102,0507-1381-3780,판매,매일 08:00~01:00,https://smartstore.naver.com/ioneski,ione_ski,b8675ee7-075b-483f-89c5-74c31c66bd3a
,렌탈샵,어반그레이1호점,곤지암리조트,경기,경기도 광주시 도척면 다람로 12,0507-1409-8327,,"토 08:00~02:00, 일 08:00~02:00, 월 09:00~02:00, 화 09:00~02:00, ",https://smartstore.naver.com/urbangray_official/products/12875590771,urbangray_outdoor,2c0e978b-4a6f-4191-8962-7e57f9ab3d9a
,렌탈샵,월드스키,곤지암리조트,경기,경기 광주시 도척면 독고개길302번길 55 곤지암 렌탈샵 월드스키,0507-1428-1494,,매일 00:00~24:00,https://smartstore.naver.com/cool5436487,,a75c0284-b9a3-418e-b62d-3273b1694e99
,렌탈샵,인라인스키 데븐,곤지암리조트,경기,경기 광주시 도척면 독고개길 333 1층,0507-1379-5601,,매일 09:00~02:00,https://deven.co.kr,deven_ski,23d83d9d-e49a-4de7-af05-7dcd67292924
,렌탈샵,인스토리,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 204 1층 인스토리,0507-1379-5820,,"토 06:00~03:00, 일 06:00~03:00, 월 07:00~03:00, 화 07:00~03:00, ",http://smartstore.naver.com/inlineskitv,,f1090268-4312-412a-9e3c-68492eb87052
,렌탈샵,인싸,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 302 곤지암렌탈샵,0507-1346-5062,,매일 08:00~02:00,https://smartstore.naver.com/inssa_gonjiam,inssa.gonjiam,259ee277-68f7-4feb-9af4-fb7e99472a01
,렌탈샵,장비좋은집,곤지암리조트,경기,경기도 광주시 도척면 독고개길 307 1층,0507-1417-7375,정비,매일 08:00~03:00,http://gonjiam.co.kr,gonjiam.co.kr,148c43f3-06c1-4b47-a3a9-4ab448f3f536
,렌탈샵,제이알스키보드,곤지암리조트,경기,경기 광주시 도척면 독고개길302번길 17 제이알스키보드,0507-1466-1526,정비,매일 07:30~02:00,http://jr스키보드.com,,398b384d-0975-4c3a-b0ed-66df9a5a35e2
,렌탈샵,청춘스키,곤지암리조트,경기,경기도 광주시 도척면 도척윗로 248 곤지암스키장렌탈샵,0507-1449-3934,판매,매일 00:00~24:00,http://곤지암스키.com,ccskijjang,fca21f5c-cab5-4064-8a03-741b2dba86c2
,렌탈샵,코코넛렌탈샵,곤지암리조트,경기,경기 광주시 도척면 독고개길302번길 2 1층,0507-1394-2298,,매일 08:00~03:00,https://smartstore.naver.com/dh-house/products/12598671706,,a78c316d-17b6-494c-877a-bc29494c6e71
